sample_id,repository,workflow_id,workflow_path,commit_date,final_label,true_label,predicted_class,predicted_label,probability_LOW,probability_MEDIUM,probability_HIGH,confidence,correct,rf_correct,conf_bin
gha_0003893,amzn/app-platform,155539961,.github/workflows/ci.yml,2025-04-24T18:09:13Z,1,MEDIUM,2,HIGH,0.003591086629394677,0.004811854523906532,0.9915970588466989,0.9915970588466989,False,False,"(0.9, 1.0]"
gha_0008992,mobizt/ReadyMail,161111726,.github/workflows/compile_library.yml,2025-05-10T08:39:35Z,0,LOW,2,HIGH,0.0016506761178560756,0.06923311699408957,0.9291162068880544,0.9291162068880544,False,False,"(0.9, 1.0]"
gha_0010072,pompelmi/pompelmi,180194408,.github/workflows/ci-release-publish.yml,2025-08-30T07:32:08Z,0,LOW,2,HIGH,0.019210054201431997,0.06755050980677794,0.91323943599179,0.91323943599179,False,False,"(0.9, 1.0]"
gha_0010070,pompelmi/pompelmi,180194408,.github/workflows/ci-release-publish.yml,2025-08-19T17:37:46Z,1,MEDIUM,2,HIGH,0.02638060384546876,0.10312839718703605,0.8704909989674952,0.8704909989674952,False,False,"(0.8, 0.9]"
gha_0007056,iamnbutler/sol-ui,184230179,.github/workflows/daily-test-improver.lock.yml,2025-08-26T19:41:50Z,2,HIGH,0,LOW,0.8701313618069131,0.03444119551064945,0.0954274426824375,0.8701313618069131,False,False,"(0.8, 0.9]"
gha_0007055,iamnbutler/sol-ui,184230177,.github/workflows/daily-perf-improver.lock.yml,2025-08-26T19:41:50Z,2,HIGH,0,LOW,0.8668127041445177,0.03956830625807535,0.09361898959740697,0.8668127041445177,False,False,"(0.8, 0.9]"
gha_0010817,secretflow/sfl,180676372,.github/workflows/codeql.yml,2025-08-12T07:37:25Z,1,MEDIUM,0,LOW,0.863336110423625,0.05062616059836839,0.08603772897800657,0.863336110423625,False,False,"(0.8, 0.9]"
gha_0009919,paulasilvatech/Agentic-Ops-Dev,163927073,.github/workflows/sync-to-platform.yml,2025-05-23T21:19:58Z,2,HIGH,0,LOW,0.8620942603672673,0.061220642211304514,0.07668509742142818,0.8620942603672673,False,False,"(0.8, 0.9]"
gha_0005393,cynkra/dd,155389917,.github/workflows/R-CMD-check.yaml,2025-05-03T05:43:58Z,1,MEDIUM,2,HIGH,0.06225310367751547,0.09091216404197955,0.846834732280505,0.846834732280505,False,False,"(0.8, 0.9]"
gha_0012900,zkp2p/zkp2p-react-native-sdk,160878981,.github/workflows/ci.yml,2025-08-25T16:24:06Z,1,MEDIUM,2,HIGH,0.040931569369340684,0.11731582394033521,0.841752606690324,0.841752606690324,False,False,"(0.8, 0.9]"
